"","Dataset.Size","Comp.Time.e1071 [s]","Comp.Time.fastnaive [s]","Comp.Time.model [s]","Test.Acc.e1071","Test.Acc.fastnaive","Test.Acc.model"
"1",1000,0.224867582321167,0.00948977470397949,0.178751707077026,0.08,0.2,0.23
"2",2000,0.902706861495972,0.00962972640991211,0.207825899124146,0.075,0.185,0.205
"3",3000,2.11555767059326,0.0155208110809326,0.568837881088257,0.09,0.225,0.226666666666667
"4",4000,3.84156537055969,0.0177955627441406,0.651620864868164,0.0775,0.2225,0.21125
"5",5000,6.10305142402649,0.179921865463257,0.933993101119995,0.087,0.234,0.2
"6",6000,8.73405456542969,0.0362722873687744,1.10717272758484,0.108333333333333,0.2175,0.216666666666667
"7",7000,11.575882434845,0.0652484893798828,1.51458072662354,0.100714285714286,0.210714285714286,0.225714285714286
"8",8000,14.6522254943848,0.226013660430908,1.4995174407959,0.115,0.231875,0.228125
"9",9000,17.8079791069031,0.0823495388031006,1.55490636825562,0.11,0.215,0.212777777777778
"10",10000,21.2533128261566,0.252674102783203,1.86034917831421,0.1085,0.2115,0.2285
