"","min.frequecny","threshold","train.acc","val.acc"
"1",5,0,0.7557421875,0.626559714795009
"2",10,0,0.7182421875,0.641176470588235
"3",15,0,0.6916015625,0.641532976827095
"4",20,0,0.676015625,0.650802139037433
"5",25,0,0.668359375,0.654723707664884
"6",5,0.1,0.758203125,0.626916221033868
"7",10,0.1,0.7199609375,0.639928698752228
"8",15,0.1,0.691953125,0.640641711229947
"9",20,0.1,0.681328125,0.651871657754011
"10",25,0.1,0.6711328125,0.649376114081996
"11",5,0.3,0.7593359375,0.642959001782531
"12",10,0.3,0.716953125,0.643137254901961
"13",15,0.3,0.69171875,0.640285204991087
"14",20,0.3,0.6803125,0.657040998217469
"15",25,0.3,0.6703125,0.651158645276292
"16",5,0.5,0.75484375,0.629233511586453
"17",10,0.5,0.713125,0.625311942959002
"18",15,0.5,0.6878125,0.62620320855615
"19",20,0.5,0.6743359375,0.648306595365419
"20",25,0.5,0.664453125,0.650445632798574
"21",5,0.7,0.75203125,0.609803921568628
"22",10,0.7,0.7067578125,0.624242424242424
"23",15,0.7,0.681953125,0.626381461675579
"24",20,0.7,0.6695703125,0.645098039215686
"25",25,0.7,0.663203125,0.650980392156863
